,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
0,3qzNMOAMWvzMtl3aPv9rOB,279653,False,57,0.266,0.0662,7,-21.072,1,0.0356,0.977,0.922,0.102,0.0402,142.161,3,https://p.scdn.co/mp3-preview/6128cd1f236f1c703820217c494035ccc0a38a5c?cid=28588cda247f4f599396da1ad5712d00
1,1ZpnptUG5sISwRx6fJQrXN,335360,False,56,0.253,0.0313,4,-26.923,0,0.0522,0.993,0.927,0.114,0.0657,77.729,5,
2,2UcUL4jytfVpW0jSXi3Ggi,210052,False,55,0.157,0.184,4,-19.854,0,0.0442,0.539,0.922,0.107,0.0304,132.606,3,
3,64LTn5fTsPR0QLy7bVYl9w,241986,False,62,0.334,0.00732,4,-30.908,0,0.0355,0.991,0.952,0.0968,0.0964,60.171,4,
4,4wlNPczIullwvmwb4x0ltz,194533,False,61,0.311,0.0253,2,-30.561,1,0.04,0.976,0.897,0.123,0.251,116.816,4,
5,5XfmcJMAaifjRrIdLaXVLm,131200,False,58,0.416,0.0164,5,-25.933,1,0.0483,0.991,0.866,0.116,0.0365,110.635,4,https://p.scdn.co/mp3-preview/6a1486f42860ab97e3c018d6c676d6ec233ee117?cid=28588cda247f4f599396da1ad5712d00
6,2mqHsw2SM72ajUCPXpgdZL,161011,False,51,0.0713,0.00459,2,-37.039,0,0.0373,0.977,0.933,0.0871,0.0365,65.381,4,https://p.scdn.co/mp3-preview/5b49a3132e27ba8be04686fae81bc217ff278883?cid=28588cda247f4f599396da1ad5712d00
7,2GJFu2G9fhaYFrOoX9bejs,220773,False,62,0.296,0.0435,0,-29.73,1,0.0411,0.987,0.857,0.0786,0.0302,72.282,1,https://p.scdn.co/mp3-preview/8cb9caa2b6fb67b3d9745ae31536b8ef2195ac4d?cid=28588cda247f4f599396da1ad5712d00
8,6zcP5A5Xv6bvCUpwXrswKa,106960,False,58,0.203,0.112,11,-18.029,0,0.0418,0.936,0.935,0.126,0.0374,72.483,4,https://p.scdn.co/mp3-preview/7252c119cb7222e98e0e41fe948bc4e5d397b650?cid=28588cda247f4f599396da1ad5712d00
9,2k2MprlqkmDMKKOOWGREzW,158600,False,57,0.332,0.0525,0,-24.1,1,0.0388,0.991,0.891,0.0683,0.097,78.853,3,
10,5fdp9rXfEixCGLM1Og4EN1,296480,False,60,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,4,https://p.scdn.co/mp3-preview/71f06cb7eb1ef729238a9e1c423b2cdc36087afc?cid=28588cda247f4f599396da1ad5712d00
11,1YluEbLfaWBfV2GpQQLOcZ,236466,False,54,0.447,0.0159,2,-25.612,0,0.063,0.995,0.933,0.195,0.107,131.542,4,
12,0UDJzgIWDc1e6qS9rYldCY,273786,False,46,0.378,0.00731,4,-34.115,0,0.061,0.992,0.928,0.0725,0.0508,130.922,5,https://p.scdn.co/mp3-preview/833f8a40b9ee0862c276f62acf0ffa49cdf108b8?cid=28588cda247f4f599396da1ad5712d00
13,2dEbRirkEtImY7HdYxrgRS,349760,False,56,0.0716,0.0408,7,-28.284,1,0.0399,0.851,0.901,0.0844,0.0377,77.047,4,https://p.scdn.co/mp3-preview/1fd69dfde9ba71dc594f6779c94a199e75380e90?cid=28588cda247f4f599396da1ad5712d00
14,52GQU2qUtb25jJEmg9hYcU,218132,False,62,0.423,0.00748,1,-31.265,1,0.0486,0.993,0.962,0.1,0.194,71.835,4,https://p.scdn.co/mp3-preview/7f4bbd7ca295769525b98088e42aaf8678a3ec8c?cid=28588cda247f4f599396da1ad5712d00
15,7HvFEJxUMSKnfcZVJcRtur,204666,False,45,0.515,0.104,9,-21.947,0,0.0301,0.711,0.818,0.122,0.206,128.021,4,https://p.scdn.co/mp3-preview/7d9578daf7c7581a3a38345ca2eb18ff59570421?cid=28588cda247f4f599396da1ad5712d00
16,5O3UGMP9XJLbshKKZHsrGN,147936,False,66,0.524,0.0338,0,-28.584,1,0.0577,0.995,0.921,0.0907,0.25,111.753,4,https://p.scdn.co/mp3-preview/a2f2b2911d09dc2cb826dbc625c1427e6cedac67?cid=28588cda247f4f599396da1ad5712d00
17,4fU1mpvaRbTqRXZN6JNlRj,218293,False,45,0.369,0.00372,2,-27.547,1,0.0391,0.992,0.858,0.0921,0.064,67.856,4,https://p.scdn.co/mp3-preview/588e2c8381d0163cb0f582784f8703844016f907?cid=28588cda247f4f599396da1ad5712d00
18,3o9br9LskOEbwc5irxfHqR,295218,False,51,0.0877,0.0763,9,-23.986,1,0.0429,0.645,0.897,0.353,0.0509,78.535,4,
19,2qJc1yHYxfdvfYfIq6HeMO,161253,False,37,0.233,0.118,3,-20.231,1,0.0325,0.979,0.897,0.125,0.193,167.153,3,
20,5pTP1tOx9NFtLtD9lm3H6A,336015,False,53,0.176,0.146,11,-16.362,1,0.037,0.532,0.951,0.113,0.0992,119.73,4,https://p.scdn.co/mp3-preview/133fa88f63b6da956f1c88fed42087c7daea7b11?cid=28588cda247f4f599396da1ad5712d00
21,1VsxTA8He1KckavTf8fNlh,73826,False,51,0.143,0.00194,0,-35.355,1,0.045,0.932,0.0318,0.0694,0.0495,139.295,3,https://p.scdn.co/mp3-preview/44e57de86cc7def24187cc455417dd34a98f37ad?cid=28588cda247f4f599396da1ad5712d00
22,6G6tIDO3rB8FktjkM70GGd,256360,False,55,0.407,0.00453,5,-30.925,1,0.041,0.995,0.935,0.0798,0.0342,104.957,4,https://p.scdn.co/mp3-preview/419e945e45443d702671a31e118ed008fa6a0ff5?cid=28588cda247f4f599396da1ad5712d00
23,3WQHClV98OrOR4Sm5XgieC,352986,False,44,0.288,0.0572,2,-22.903,0,0.0466,0.968,0.317,0.0972,0.116,108.379,3,
24,2TxxLPHPHOsd3i5104tFv2,957080,False,51,0.144,0.0641,4,-23.391,0,0.0441,0.913,0.304,0.115,0.0393,90.685,4,
25,0KyVvY5yqaTYrw999KD1Gg,113532,False,44,0.141,0.087,9,-23.517,0,0.0409,0.912,0.964,0.113,0.0399,87.721,1,https://p.scdn.co/mp3-preview/6ca6b151d2c4271f0dbe4e6e01fb565d6a18c3c8?cid=28588cda247f4f599396da1ad5712d00
26,4zCxFnvD9HWIaDPImLSOq4,227973,False,48,0.142,0.0152,7,-30.817,1,0.0377,0.964,0.854,0.115,0.0746,92.621,3,https://p.scdn.co/mp3-preview/9d70bf7b193d0af94ccf9ae9ec8d051e8c78c44e?cid=28588cda247f4f599396da1ad5712d00
27,3hCPh4oVVjaM8tv9sFH8cx,294960,False,57,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,3,
28,0MPYUwNGF3D7dvBoAIlMVh,95506,False,46,0.571,0.0929,0,-21.029,1,0.0438,0.984,0.889,0.163,0.0394,125.957,3,https://p.scdn.co/mp3-preview/eaffef280f50f398b266dc4d952a7c002555ad69?cid=28588cda247f4f599396da1ad5712d00
29,5GvFoTt81kcLw6eEJlfCKT,217320,False,47,0.0823,0.00841,10,-30.674,1,0.0417,0.979,0.792,0.0994,0.0529,172.465,4,
30,4eY2bxGE2ykwefZ3adjetE,705512,False,50,0.0709,0.0155,1,-32.939,1,0.0435,0.949,0.785,0.0924,0.0315,76.646,3,https://p.scdn.co/mp3-preview/ec161e58e2d8a1e485ffda2e007a4ecd4b771209?cid=28588cda247f4f599396da1ad5712d00
31,2WZNkbVqATzXscJ6VgYJeo,174773,False,47,0.172,0.131,4,-21.663,1,0.0468,0.898,0.0392,0.131,0.0476,95.309,3,https://p.scdn.co/mp3-preview/7e331d3b77042187535ec1bebf16699f7d02e1bc?cid=28588cda247f4f599396da1ad5712d00
32,5NU8pIT0Yp8wgaUiHZM90w,247107,False,49,0.163,0.168,10,-20.328,0,0.0349,0.961,0.862,0.115,0.0385,65.77,3,
33,17i5jLpzndlQhbS4SrTd0B,152280,False,70,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,4,https://p.scdn.co/mp3-preview/36fd5830124980753e8d9ff555b8708e05790f27?cid=28588cda247f4f599396da1ad5712d00
