,Unnamed: 0,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview,Time Series,Sampling Rate,Log Mel,MFCC
0,1,2kAgCRZPG3YQR2VMqRvLmb,935360,False,63,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,4,https://p.scdn.co/mp3-preview/ec96df58162e040f8ee840288eb4bdfea43f6a39?cid=28588cda247f4f599396da1ad5712d00,"[-0.00053306 -0.0016834  -0.00195217 ...  0.00696665  0.00611982
  0.00431449]",22050,"[[-29.067535 -27.12305  -24.551144 ... -34.51963  -36.116104 -21.93911 ]
 [-29.66512  -28.3107   -29.379799 ... -16.00655  -16.435783 -16.993282]
 [-19.580978 -18.0201   -18.496878 ... -15.095588 -15.661544 -17.425507]
 ...
 [-55.364887 -55.364887 -55.364887 ... -55.364887 -55.364887 -55.364887]
 [-55.364887 -55.364887 -55.364887 ... -55.364887 -55.364887 -55.364887]
 [-55.364887 -55.364887 -55.364887 ... -55.364887 -55.364887 -55.364887]]","[[-1.0049028  -0.60542387 -0.2677714  ...  0.11469466  0.3417869
   0.03858744]
 [-0.9509124  -0.27430153 -0.2089467  ...  0.09687579  0.5357432
  -0.07201048]
 [-0.9911462   0.21627563  0.5028052  ...  0.00577363  0.8118036
  -0.15910599]
 ...
 [-1.5078833   0.07498267  1.14596    ... -0.7972946  -0.7825499
   0.00209585]
 [-1.4802225   0.09726766  1.2189044  ... -0.82536376 -0.78041077
  -0.12506305]
 [-1.2360795   0.32209864  0.5052642  ... -0.38701776 -0.336257
  -0.24940827]]"
1,2,17i5jLpzndlQhbS4SrTd0B,152280,False,70,0.275,0.157,7,-18.752,1,0.0636,0.89,0.8420000000000001,0.18600000000000003,0.304,73.289,4,https://p.scdn.co/mp3-preview/36fd5830124980753e8d9ff555b8708e05790f27?cid=28588cda247f4f599396da1ad5712d00,[0.09828128 0.13184355 0.10802258 ... 0.01166026 0.01113698 0.008935  ],22050,"[[  5.903633    -0.06855518 -12.734017   ... -15.086092   -19.273895
  -10.926758  ]
 [  9.948995     5.259145     2.017131   ...  -9.350047   -11.261311
  -12.070999  ]
 [ 25.528767    24.30077     22.879333   ...  -5.528919    -6.4530306
   -6.8574023 ]
 ...
 [-32.850758   -38.55757    -49.236404   ... -50.88894    -50.88894
  -50.88894   ]
 [-31.024261   -36.948437   -50.88894    ... -50.88894    -50.88894
  -50.88894   ]
 [-29.623583   -35.640373   -50.88894    ... -50.88894    -50.88894
  -50.88894   ]]","[[ 0.6342557   0.54315317  2.2192187  ... -0.01078958  2.6361315
   0.86492586]
 [ 0.5530063   0.96967953  1.6318899  ...  0.05502985  2.5951412
   0.813004  ]
 [ 0.47993174  1.2413422   0.68994045 ...  0.6527534   2.1324377
   1.5601178 ]
 ...
 [-0.08309256  0.20782334  0.28096703 ...  0.7817776  -0.23139392
   0.31859747]
 [-0.24397177  0.1954981   0.24657366 ...  0.18928903 -0.13350503
  -0.2805653 ]
 [-0.1949736   0.3959169   0.08320512 ... -0.28021887  0.02378065
  -0.55705786]]"
2,4,1upQiytDIEZfl9ItruoXuC,207266,False,67,0.204,0.0331,2,-24.044,0,0.0487,0.927,0.825,0.0954,0.0547,116.2,3,https://p.scdn.co/mp3-preview/a4db8e757fef306c7a2cdb88cec1e9f6631d1e7d?cid=28588cda247f4f599396da1ad5712d00,[0.02138586 0.04226615 0.03651252 ... 0.02641596 0.02996653 0.0318047 ],22050,"[[-18.454542 -20.380508 -22.207869 ... -16.490189 -16.864851 -14.134225]
 [-23.701897 -27.817347 -25.595024 ... -28.380186 -30.058252 -23.444466]
 [-21.516954 -26.792866 -33.87216  ... -26.08536  -23.304785 -19.666412]
 ...
 [-42.135586 -48.1157   -58.55211  ... -58.55211  -58.55211  -58.55211 ]
 [-41.518234 -47.518547 -58.55211  ... -58.55211  -58.55211  -58.55211 ]
 [-41.513653 -47.529987 -58.55211  ... -58.55211  -58.55211  -58.55211 ]]","[[ 2.0314314  -0.61151516  0.8798602  ... -0.48216593 -1.477796
  -0.5764674 ]
 [ 1.4241513   0.14608234  0.5986635  ... -0.23551999 -1.4406462
  -0.68404734]
 [ 0.6351877   1.2817268   0.06103979 ... -0.66718084 -1.2738734
  -0.7352119 ]
 ...
 [ 0.20906515 -2.1795971  -1.4984758  ...  2.901846    3.5103605
   2.7272766 ]
 [ 0.28657115 -1.7421336  -1.2594519  ...  2.273276    3.1838505
   2.7293632 ]
 [ 0.75933325 -0.72787535 -1.1759857  ...  1.9975659   2.2290204
   1.7841423 ]]"
3,8,5pjDwtMPly0cNMbuGXhUOI,478573,False,59,0.14800000000000002,0.0722,4,-25.217,0,0.0427,0.9440000000000001,0.14800000000000002,0.115,0.0467,87.882,4,https://p.scdn.co/mp3-preview/bf0440d36e916d6e524f6e764e61169458d4d8fd?cid=28588cda247f4f599396da1ad5712d00,"[ 0.00639738  0.01202878  0.01110785 ... -0.00148965 -0.00302359
 -0.00519173]",22050,"[[-21.642883  -16.86074   -13.025655  ... -22.311417  -20.46171
  -22.024094 ]
 [-19.15101   -17.25996    -9.994839  ... -15.431225  -12.887695
  -14.100747 ]
 [ -2.6427696  -7.201478   -9.20864   ... -15.816306  -15.887298
  -17.121088 ]
 ...
 [-49.45308   -45.790462  -36.802536  ... -52.517704  -52.517704
  -52.517704 ]
 [-49.169865  -48.663452  -49.3277    ... -52.517704  -52.517704
  -52.517704 ]
 [-51.998642  -52.517704  -52.517704  ... -52.517704  -52.517704
  -52.517704 ]]","[[-0.72110146  0.85406506  1.5125086  ... -1.3267914   0.5832374
   0.5089207 ]
 [-0.41670087  0.9302285   1.502546   ... -0.46793273  0.3460504
   0.8561637 ]
 [-0.18213363  1.0332698   1.7064314  ... -0.33670464  0.02745414
   0.9166449 ]
 ...
 [-1.424125    0.59082496  0.94210917 ... -0.94168305  0.9300723
   0.45486128]
 [-1.4486995   0.59363276  0.9979926  ... -0.97888756  1.1447753
   0.45688453]
 [-1.4149708   0.772286    0.91435254 ... -1.0534106   1.5088706
   0.6057828 ]]"
4,11,5fdp9rXfEixCGLM1Og4EN1,296480,False,60,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.9440000000000001,0.0882,0.0369,71.827,4,https://p.scdn.co/mp3-preview/71f06cb7eb1ef729238a9e1c423b2cdc36087afc?cid=28588cda247f4f599396da1ad5712d00,"[-0.00583461 -0.0139901  -0.01071712 ... -0.03383464 -0.03100806
 -0.03468332]",22050,"[[-16.884132   -12.272509    -9.15978    ...  -6.129274    -8.497519
   -6.505024  ]
 [-17.533554   -17.88637    -17.0023     ... -15.2661     -15.465944
  -16.582666  ]
 [ -5.18271     -5.383888    -6.385618   ...   0.31839398  -1.3806953
   -3.9266052 ]
 ...
 [-51.906876   -57.924873   -58.125443   ... -58.125443   -58.125443
  -56.218224  ]
 [-51.590546   -57.610455   -58.125443   ... -58.125443   -58.125443
  -54.380318  ]
 [-51.83465    -57.855194   -58.125443   ... -58.125443   -58.125443
  -54.08873   ]]","[[ 9.4870195e-02 -1.4485276e+00  8.0138618e-01 ...  2.1643345e-01
  -8.9657819e-01  1.5060821e+00]
 [-2.1888742e-01 -5.2482587e-01  4.5337898e-01 ...  4.7450149e-01
  -4.1245925e-01  1.3197080e+00]
 [-4.9040064e-01 -2.9186851e-01  3.1936201e-01 ...  9.6688843e-01
   6.0864609e-01  8.7750882e-01]
 ...
 [-4.2294367e-04  6.6192257e-01  1.0238325e-01 ...  6.1877811e-01
  -1.1050636e-01  2.6790616e-01]
 [-3.1648919e-02  6.4592159e-01  1.1799850e-01 ...  1.1709335e-01
  -1.8591376e-01  3.8387361e-01]
 [ 5.1315304e-02  8.4041965e-01  2.2333530e-01 ... -5.0222808e-01
  -3.0926821e-01  8.1871031e-03]]"
5,12,2Z4aQJh0kesRMookvtfR4y,820853,False,58,0.303,0.11900000000000001,9,-18.055,0,0.0386,0.975,0.88,0.11199999999999999,0.038,94.868,4,https://p.scdn.co/mp3-preview/eff0bdf3e282a3e59114c24dd5453e7d549f07c3?cid=28588cda247f4f599396da1ad5712d00,"[-0.02038232 -0.00656107  0.07441576 ...  0.00328304  0.00224549
  0.00089722]",22050,"[[ -2.6728659   -7.9042263  -14.741565   ... -16.584673   -22.422104
  -20.32368   ]
 [  0.70204675  -2.1676662   -8.048807   ... -11.597242   -12.159514
  -10.292035  ]
 [ -9.888053    -8.089074     1.9535995  ...  -5.950984    -6.607816
   -4.533243  ]
 ...
 [-25.070055   -26.21025    -30.38467    ... -54.08896    -54.08896
  -54.08896   ]
 [-28.679064   -26.285524   -27.47524    ... -54.08896    -54.08896
  -54.08896   ]
 [-36.344105   -35.42901    -35.714108   ... -54.08896    -54.08896
  -54.08896   ]]","[[ 0.9238945  -1.8455634  -0.36484063 ... -0.64795715 -1.8089862
  -1.2054    ]
 [ 0.88955843 -1.853181   -0.19448589 ... -0.5969664  -0.82054675
  -1.4896116 ]
 [ 0.83080995 -1.6454353  -0.18204491 ... -0.19700623 -0.30481333
  -1.4082996 ]
 ...
 [-1.0818903   0.77268976  0.5913406  ...  0.27993354  0.5129064
  -0.43128106]
 [-1.0796831   0.7922769   0.52620864 ...  0.59514695  0.28538522
  -0.8648604 ]
 [-1.0609976   0.9176839   0.634685   ...  1.1586021   0.40579608
  -0.5784454 ]]"
6,14,0cqcRqZgkNHanWQ8slYA0v,583293,False,58,0.0783,0.0523,5,-23.247,1,0.0471,0.8959999999999999,0.945,0.0806,0.0327,82.015,4,https://p.scdn.co/mp3-preview/425239e07aaa04332ef90ed4c4f80f0cd29abf59?cid=28588cda247f4f599396da1ad5712d00,[0.02466144 0.04425042 0.04185618 ... 0.00929006 0.00842677 0.00804001],22050,"[[-13.703665  -19.6044    -17.503569  ... -16.581299  -18.723747
  -15.344027 ]
 [ -3.1015408  -4.2999783  -6.4720497 ... -10.554896  -12.282904
  -12.994713 ]
 [ -2.4997656   2.8479548   5.4055223 ...  -7.419223   -5.6607304
   -7.8429565]
 ...
 [-42.63385   -48.615757  -50.84046   ... -50.84046   -50.84046
  -50.84046  ]
 [-41.584724  -47.50633   -50.84046   ... -50.84046   -50.84046
  -50.84046  ]
 [-41.098503  -47.112953  -50.84046   ... -50.84046   -50.84046
  -50.84046  ]]","[[-0.38772237  0.86110663  1.2765503  ...  0.04765311  1.8042668
   0.6667581 ]
 [-0.3892328   1.1725215   0.40649772 ...  0.640077    0.94654703
   0.7524584 ]
 [-0.36123434  1.0959171   0.10114813 ...  0.7144617   0.5392375
   1.0771556 ]
 ...
 [-2.240598    0.25088522  1.3965094  ... -0.04903062  1.3328233
  -0.41552737]
 [-2.2486668   0.3018157   1.5429798  ...  0.2820837   1.491659
  -0.28497115]
 [-2.2610555   0.46805164  1.856104   ... -0.3945073   1.0528916
  -0.0314635 ]]"
7,15,2MSgFefjK0T7Iwjvr3OKqV,259493,False,65,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.8809999999999999,0.0722,0.18600000000000003,163.665,4,https://p.scdn.co/mp3-preview/bc2e0802bbe54e5a8be0f93e5dac70345d55522f?cid=28588cda247f4f599396da1ad5712d00,"[-0.01462398 -0.02966294 -0.02373086 ... -0.01108383 -0.01074179
 -0.01127486]",22050,"[[-14.261307 -13.124109 -12.947745 ... -25.121958 -24.206228 -26.198975]
 [-21.194485 -25.120333 -30.70032  ... -29.372822 -29.46393  -29.918251]
 [-18.860489 -21.03889  -21.874392 ... -26.639496 -29.452131 -25.470781]
 ...
 [-45.329857 -51.348717 -58.630283 ... -58.630283 -58.630283 -58.630283]
 [-44.778652 -50.79824  -58.630283 ... -58.630283 -58.630283 -58.630283]
 [-44.82463  -50.845154 -58.630283 ... -58.630283 -58.630283 -58.630283]]","[[ 1.7429336  -0.09073621  0.04350631 ... -0.22654724  1.4686615
  -0.3271828 ]
 [ 1.308663    0.54525167 -0.2613998  ... -0.5952307   0.8980945
  -0.6878555 ]
 [ 0.8019905   1.1351122  -0.5564353  ... -1.3067045   0.15447861
  -0.5841344 ]
 ...
 [-1.6278453  -1.8818308   1.4310725  ...  0.46977818  0.21414502
  -0.22526121]
 [-1.679032   -1.9461033   1.5203108  ...  0.31229013 -0.04416822
  -0.3119018 ]
 [-1.6339777  -1.82844     1.6199818  ...  0.8517265   0.38669798
  -0.24406795]]"
8,21,63cA2QfqtWZa0GGPZnYc0K,532040,False,53,0.0999,0.0241,2,-25.651,1,0.0432,0.98,0.7659999999999999,0.0623,0.0396,89.001,3,https://p.scdn.co/mp3-preview/915e7cac70e47e731c4f3d3e52b75d637de72891?cid=28588cda247f4f599396da1ad5712d00,"[-0.00449823 -0.00184886  0.01158121 ... -0.04955177 -0.04940712
 -0.04850978]",22050,"[[-13.419743  -18.60433   -25.94843   ... -30.158775  -33.873264
  -28.470894 ]
 [-12.014216  -15.253635  -15.62023   ... -18.800478  -16.23415
  -14.670495 ]
 [ -8.710795  -12.334004   -6.7439356 ... -19.46485   -17.710217
  -16.570812 ]
 ...
 [-56.960007  -57.113106  -57.415337  ... -57.415337  -57.415337
  -57.415337 ]
 [-57.415337  -57.415337  -57.415337  ... -57.415337  -57.415337
  -57.415337 ]
 [-55.949295  -57.415337  -57.415337  ... -57.415337  -57.415337
  -57.415337 ]]","[[ 0.7712017   1.3140194  -0.7489139  ... -1.9346282  -0.28319198
  -0.01906759]
 [ 0.62725675  1.1002363  -0.48193604 ... -1.9053061  -0.7931571
   0.11319789]
 [ 0.47071514  0.81932455 -0.09421607 ... -1.580265   -1.3006217
   0.23071365]
 ...
 [-1.918892   -0.75501156  1.9899939  ...  0.89276654 -0.41183698
  -2.1238394 ]
 [-1.985348   -1.1027228   1.7704258  ...  0.3378104  -0.5147526
  -2.316996  ]
 [-1.4888515   0.02084268  0.30745885 ...  1.183053    0.21613126
  -2.1119347 ]]"
9,24,2Y95aUjHiOtgL8A6t52Ynl,442600,False,54,0.244,0.0021,1,-41.044,0,0.0417,0.995,0.86,0.161,0.187,64.36399999999999,4,https://p.scdn.co/mp3-preview/0240ed6102c8985c9a5daf75eaf81db31ac8042e?cid=28588cda247f4f599396da1ad5712d00,[0.00562309 0.01122902 0.0111106  ... 0.01023229 0.01108791 0.01302524],22050,"[[-14.637959  -20.047417  -26.39942   ... -31.595798  -28.277527
  -24.851406 ]
 [-11.7045355 -16.629341  -25.742165  ... -25.898897  -26.11664
  -24.579794 ]
 [ -8.202026  -13.14267   -20.486912  ... -29.417467  -28.360178
  -22.37242  ]
 ...
 [-55.694183  -61.693245  -63.41629   ... -63.41629   -63.41629
  -63.41629  ]
 [-54.897865  -60.903442  -63.41629   ... -63.41629   -63.41629
  -63.41629  ]
 [-54.631     -60.650883  -63.41629   ... -63.41629   -63.41629
  -63.41629  ]]","[[ 0.46467915 -2.4828274   1.5462465  ... -0.5078177   0.8468994
   0.9983084 ]
 [-0.41272515 -1.2885283   1.2475247  ... -0.09980644  0.43569815
   1.2567357 ]
 [-1.0448607  -0.83659446  1.129679   ...  1.1313385  -0.21559408
   1.4109583 ]
 ...
 [-1.3120799  -0.774218    1.8228794  ...  1.0092916  -1.2989037
  -1.9988959 ]
 [-1.4092906  -0.9137588   1.9325866  ...  1.1480705  -1.2341738
  -1.7697921 ]
 [-1.0787506  -0.6819108   1.5931487  ...  0.8723251  -1.4610282
  -2.2473574 ]]"
