,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
0,4AE7Lj39VnSZNOmGH2iZaq,281600,True,71,0.874,0.63,1,-3.585,1,0.298,0.0578,0.00479,0.0582,0.717,95.0,4,
1,3W6UZZEiAIywZYpNpfBplK,270883,True,3,0.718,0.847,2,-4.876,1,0.29,0.485,0.0,0.17,0.888,91.158,4,
2,17larILaMHwsprsMFnYI77,252746,True,63,0.778,0.578,9,-7.22,0,0.274,0.432,0.0,0.138,0.758,84.487,4,https://p.scdn.co/mp3-preview/7ca5bf638f4ba523d2769c4f63c1edf4988a4d98?cid=28588cda247f4f599396da1ad5712d00
3,3jFTsobEff1Cz8DlIAisYY,232773,True,5,0.758,0.519,10,-10.58,0,0.0395,0.117,0.0742,0.109,0.617,92.872,4,
4,1zS4PMsHfkSXPkzrEkCkC6,134040,False,61,0.753,0.539,6,-8.03,0,0.425,0.0515,1.19e-05,0.0841,0.78,83.92,4,https://p.scdn.co/mp3-preview/f9d144b468843d50563084cb4765137e472044cb?cid=28588cda247f4f599396da1ad5712d00
5,4voEoczU7Ijborps9XF1n3,259000,True,69,0.846,0.416,10,-13.767,0,0.118,0.156,9.34e-06,0.238,0.645,96.188,4,
6,30eW6IlBK3wCwcB8TsPXua,243106,True,61,0.769,0.752,11,-6.0,1,0.324,0.031,2.79e-06,0.0564,0.527,90.225,4,https://p.scdn.co/mp3-preview/d41781147dfc29ca750aff4cf6c6c0017ab35e6e?cid=28588cda247f4f599396da1ad5712d00
7,1z1btB03Hw1gYwSLPlt67z,325733,True,61,0.753,0.525,6,-8.32,1,0.352,0.152,0.0,0.141,0.482,169.984,4,https://p.scdn.co/mp3-preview/7edd85aa68cf71123cd46fe67026705fe3f8fb23?cid=28588cda247f4f599396da1ad5712d00
8,4IYKjN1DrYzxKXt0umJqsG,253533,False,73,0.6,0.706,10,-7.899,0,0.361,0.209,0.0,0.125,0.58,173.926,4,
9,0xyR0utsJZGtHdcuBqTEVZ,254026,True,6,0.806,0.613,9,-11.08,0,0.372,0.0545,0.0,0.129,0.688,91.497,4,
