,Unnamed: 0,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview,Time Series,Sampling Rate,Log Mel,MFCC
0,0,4YtoipFgf4k0AfD17ZfD5X,238466,True,70,0.8009999999999999,0.6990000000000001,11,-8.18,0,0.27899999999999997,0.00579,0.0,0.146,0.655,94.604,4,https://p.scdn.co/mp3-preview/48a6d778f892cdbf90686e5fd0a240e0907cf784?cid=28588cda247f4f599396da1ad5712d00,"[ 0.04776115 -0.01965178 -0.10649186 ...  0.51653934  0.42533645
  0.3808264 ]",22050,"[[ 2.1242135e+00 -3.6760487e-02 -1.6034110e+00 ...  1.8723181e+01
   1.8388302e+01  1.7916039e+01]
 [ 3.3790593e+00  5.4091005e+00  4.9574928e+00 ...  2.6212391e+01
   2.5603914e+01  2.5054312e+01]
 [-1.5742016e+00 -3.5527751e+00 -5.5920553e+00 ...  1.5600204e+01
   1.4607520e+01  1.4018677e+01]
 ...
 [-4.1546669e+01 -4.2930138e+01 -3.1518803e+01 ... -2.3492601e+01
  -2.4107204e+01 -1.8771914e+01]
 [-3.8303268e+01 -4.3636227e+01 -3.7375938e+01 ... -2.6146982e+01
  -2.3706696e+01 -2.5008980e+01]
 [-3.5382591e+01 -4.1272179e+01 -4.0247147e+01 ... -3.1986982e+01
  -3.3098534e+01 -3.4520138e+01]]","[[ 0.5683275   0.41586304 -1.8689132  ...  1.4301949  -1.0782471
  -0.35791165]
 [ 0.56076396  0.6077204  -1.8959609  ...  0.79282016 -1.1454828
  -0.12997194]
 [ 0.07920124  0.46809605 -1.5589099  ... -0.35039088 -1.2011528
  -0.32989106]
 ...
 [-1.3263382  -2.077901    1.2760519  ...  1.7152687   0.03844683
   1.3535448 ]
 [-1.0473185  -1.8731513   0.66197705 ...  0.40945065  0.1265984
   1.159365  ]
 [ 0.03647863 -0.555454    1.0888302  ... -1.1568947  -0.66461146
   0.8887757 ]]"
1,4,04fX3oTJm5Zucg3Uf9aix0,292186,True,65,0.75,0.705,7,-7.461,1,0.157,0.08800000000000001,0.0,0.535,0.595,93.603,4,https://p.scdn.co/mp3-preview/3f55480afbb51ded43564419476ed4c683a15332?cid=28588cda247f4f599396da1ad5712d00,"[ 0.05147913  0.15496087  0.23117872 ... -0.4542823  -0.38842896
 -0.4201181 ]",22050,"[[ 22.06158    15.780867    4.4711604 ...   6.955222    3.8217924
   20.472683 ]
 [ 28.039198   27.919855   27.097767  ...  15.031853   23.67718
   31.162794 ]
 [ 22.396152   24.607803   24.204119  ...  16.22089    29.143135
   31.469124 ]
 ...
 [-18.433296  -17.995728  -20.195711  ... -16.963976  -13.082937
  -11.297735 ]
 [-21.347342  -22.84451   -25.939152  ... -24.869337  -18.069166
  -15.402556 ]
 [-28.478828  -30.856659  -32.821976  ... -35.182327  -29.97095
  -29.750278 ]]","[[ 0.35975778 -0.10821944  0.04663708 ... -0.35361966  0.89294225
   2.276832  ]
 [ 0.03778107 -0.4790583   0.13695756 ... -0.7240707   0.71311057
   2.6830559 ]
 [-0.7296461  -1.0833349   0.1408367  ... -1.2461349   0.25402826
   2.801433  ]
 ...
 [ 0.32828584  2.1334105   1.0107388  ... -1.0620428   0.68442065
   0.89226437]
 [ 0.6281062   1.4633839   1.4846174  ... -0.7965803   1.9233068
   2.005392  ]
 [ 0.35794282  0.74377507  1.3788108  ... -0.05957599  2.7225044
   3.5857818 ]]"
2,12,7lQWRAjyhTpCWFC0jmclT4,240693,False,81,0.647,0.514,8,-10.05,1,0.0593,0.0655,0.0,0.39799999999999996,0.387,79.97399999999999,4,https://p.scdn.co/mp3-preview/5299497db5ba226f388f3a064064cc44b2b51568?cid=28588cda247f4f599396da1ad5712d00,"[ 0.05317565  0.12868883  0.09100303 ... -0.08267915 -0.08837808
 -0.08788937]",22050,"[[  9.863319    9.890126    9.765831  ...   8.031231    8.650521
    8.662462 ]
 [  9.613888   12.38195    14.262232  ...  13.8766775  14.084062
   14.529043 ]
 [ 12.292339   14.223881   15.289623  ...  14.817122   14.957699
   15.210456 ]
 ...
 [-17.16264   -20.69176   -27.668121  ... -23.61325   -29.361359
  -30.015123 ]
 [-18.891052  -23.837875  -29.630142  ... -23.819387  -30.876848
  -34.152855 ]
 [-28.883078  -33.2188    -38.56606   ... -37.046387  -38.884636
  -41.361298 ]]","[[-0.9386786  -1.9322029  -0.30549917 ...  1.3668693   1.6069316
   1.9883376 ]
 [-0.7841077  -0.96448576 -0.49567047 ...  0.892036    1.1686761
   2.0762537 ]
 [-0.91106725  0.03491874 -0.8168453  ...  0.8786562   0.600776
   1.4224308 ]
 ...
 [-1.3303283  -1.8273048   0.08932567 ...  2.6024017   1.5684369
   0.06797507]
 [-2.2519374  -1.76296     1.0091327  ...  2.0533123   0.644691
  -0.01824676]
 [-2.1287935  -2.8799074   1.2173291  ...  0.983012   -0.07646737
  -0.7195651 ]]"
3,14,1pjDKRg5WddCDSlG5PXcKy,261293,True,64,0.731,0.818,7,-7.035,1,0.17800000000000002,0.127,0.00674,0.233,0.8420000000000001,92.29,4,https://p.scdn.co/mp3-preview/7eb467fec848f52af368fe0e7477dd9c706e1894?cid=28588cda247f4f599396da1ad5712d00,"[-0.20467897 -0.30972868 -0.18012986 ...  0.02812349  0.07843705
  0.13275345]",22050,"[[ 20.045454   15.809488    7.2315097 ...  20.414753   21.469479
   21.330353 ]
 [ 17.870975   18.543188   15.759602  ...  28.086056   26.822355
   26.2711   ]
 [ 13.273908   14.510675   14.960545  ...  27.93906    18.441174
   15.918921 ]
 ...
 [-12.613292  -14.116114  -20.398224  ... -40.094444  -45.41664
  -42.520836 ]
 [-16.754963  -17.932812  -24.386765  ... -45.129272  -46.277664
  -46.277664 ]
 [-21.47839   -26.977007  -40.72262   ... -46.277664  -46.277664
  -46.277664 ]]","[[ 0.9786971  -0.156198    0.96845627 ...  0.19871055  1.4922352
   1.6020262 ]
 [ 1.0191683   0.00730751  0.8035496  ...  0.6851682   1.1267679
   1.4308822 ]
 [ 0.43898812  0.42920882  0.78458077 ...  0.6992338   0.00804223
   0.12139761]
 ...
 [-1.0257446   1.6888963  -0.46707222 ...  0.75627995  1.5843114
  -0.29554853]
 [-1.7476534   2.233141    0.6303033  ...  0.82962626  1.2428491
  -0.19178759]
 [-1.6574087   2.0693424   0.6622086  ...  1.5941609   1.6006362
  -0.31118816]]"
4,15,3QlTzofanSqDWywxEzGGE2,334440,False,54,0.888,0.584,7,-13.308,1,0.11199999999999999,0.0389,3.25e-06,0.0625,0.762,104.704,4,https://p.scdn.co/mp3-preview/6a3b8e4516498d639f16ce7490dcb145c7803482?cid=28588cda247f4f599396da1ad5712d00,"[-0.01477048 -0.03353145 -0.03087878 ... -0.23747411 -0.19356674
 -0.20267679]",22050,"[[  3.6241796   5.0682726   3.4380927 ...  14.926205   16.70159
   16.897053 ]
 [ 10.451642   12.704781   10.971781  ...  25.41534    26.661245
   25.12048  ]
 [ 20.169832   19.549265   19.829664  ...  17.647959   19.551937
   19.682861 ]
 ...
 [-39.948624  -41.85508   -43.916515  ...  -9.221983  -10.98318
  -17.51219  ]
 [-40.700256  -41.861225  -43.34153   ... -13.38663   -13.562169
  -19.225456 ]
 [-43.269962  -47.166256  -47.166256  ... -21.682375  -25.936491
  -36.496414 ]]","[[-1.0628163   2.1392472   0.0692037  ... -1.2334102  -0.41822276
   0.62742066]
 [-0.5458979   1.9952952  -0.7127427  ... -0.24686475  0.29815838
   1.2409381 ]
 [-0.43772984  1.5552018  -1.1308677  ...  0.53147936  1.3837649
   1.2386583 ]
 ...
 [ 2.222369   -0.01839313 -0.37618297 ... -1.0936797  -0.22259733
  -1.4292831 ]
 [ 1.8194796   0.06851445 -0.31685776 ... -0.88410616 -1.0696222
  -0.8181006 ]
 [ 1.2407633   0.2450299  -0.8307024  ... -0.36863375 -0.73528856
  -0.34737885]]"
5,17,4XiZFtOlgXYtrp88tGNnk8,361266,True,57,0.88,0.5579999999999999,9,-10.425999999999998,1,0.217,0.121,3.35e-05,0.11900000000000001,0.597,89.024,4,https://p.scdn.co/mp3-preview/450736d35a1370742bdc7833527f98071cdbbaa1?cid=28588cda247f4f599396da1ad5712d00,"[-0.0205491  -0.03216978 -0.01747801 ... -0.20909514 -0.2533724
 -0.3058463 ]",22050,"[[-17.311436 -17.33773  -16.995508 ...  27.473326  26.710966  26.001425]
 [-15.311935 -11.596704 -13.363514 ...  30.456009  28.858055  27.815458]
 [-18.32558  -14.528837 -14.920662 ...  20.138304  19.5994    19.014801]
 ...
 [-38.04408  -36.433723 -35.829617 ... -41.31668  -42.851418 -37.72497 ]
 [-39.419094 -39.203663 -39.422997 ... -43.915802 -43.915802 -40.949966]
 [-41.319267 -43.915802 -43.915802 ... -43.915802 -43.915802 -43.915802]]","[[ 0.4901146   0.15022448 -1.4268663  ... -2.7189782  -0.9727149
   0.49717203]
 [ 0.65577763  0.18840526 -1.5210543  ... -2.553661   -1.0638412
  -0.13350995]
 [ 0.6739885   0.12398925 -1.1178219  ... -2.0523922  -1.1515932
  -0.9214726 ]
 ...
 [-0.06565744  1.5500128  -0.88020474 ...  0.8960963  -0.7353407
   0.5393682 ]
 [ 0.11337953  1.3499875  -1.4945769  ...  1.4050244  -1.157773
   1.10456   ]
 [ 0.34938872  1.4608688  -1.5262508  ...  1.0444115  -0.3878718
   0.72970337]]"
6,18,4sxEYZ3eMLOeETkbcVIrcP,200200,True,43,0.648,0.9129999999999999,4,-2.436,0,0.345,0.0141,0.0,0.0565,0.737,88.795,4,https://p.scdn.co/mp3-preview/33f9c0f7d3b98621571bf096bf9ae51b2189bde9?cid=28588cda247f4f599396da1ad5712d00,"[ 0.17452408  0.2343817   0.15924421 ...  0.38040206 -0.09346797
 -0.2769123 ]",22050,"[[ 31.30393    27.48608    23.156652  ...  27.205704   21.888906
   17.908855 ]
 [ 27.607365   29.008074   30.816753  ...  31.528856   29.512325
   29.289179 ]
 [ 22.51439    28.341208   27.357626  ...  20.979452   21.88049
   23.888863 ]
 ...
 [-10.739641   -8.339039   -8.677403  ...  -6.890325   -2.2603414
   -1.6826127]
 [-10.793577  -12.533311  -14.905058  ...  -9.035074   -9.908887
   -8.4579   ]
 [-20.260563  -23.97087   -26.24009   ... -20.581142  -18.530212
  -19.866798 ]]","[[ 0.65655535  0.37641874  0.33903253 ... -0.7306919   0.13422425
   0.00492112]
 [ 0.5744207   0.5014626   0.3067122  ... -0.22790116  0.27674463
   0.32196414]
 [ 0.19963093  0.55604875  0.06872611 ... -0.00221488 -0.00509135
   0.42773914]
 ...
 [ 0.87311316 -1.4602647   1.0559254  ...  1.2667484   0.73743176
   0.16744696]
 [ 0.88875365 -1.8860297   1.3337642  ...  0.9250722   0.8487422
   0.4638586 ]
 [ 0.8576688  -1.9038526   1.2965057  ...  0.43874955  1.1167929
   0.7227799 ]]"
7,19,2cBOh97kgDenDOdtKhwU9O,224866,True,53,0.823,0.745,5,-6.6370000000000005,0,0.247,0.00282,0.000332,0.32299999999999995,0.58,91.919,4,https://p.scdn.co/mp3-preview/0a4e9b835553a99d1b1a4934443fecc1d3a24dd2?cid=28588cda247f4f599396da1ad5712d00,"[-0.10085412 -0.15907969 -0.15720011 ...  0.06429011 -0.00840273
 -0.00200877]",22050,"[[ 23.901337   20.95703    18.82405   ... -25.252016  -29.45591
  -30.098766 ]
 [ 27.529354   29.534782   29.422096  ... -17.014374  -19.804224
  -26.788185 ]
 [ 25.808527   23.568901   21.26076   ... -15.9703045 -20.570347
  -27.831614 ]
 ...
 [-32.925037  -38.91012   -43.654495  ... -18.454796  -17.427233
  -17.168772 ]
 [-30.718649  -36.735153  -43.654495  ... -25.201246  -25.682333
  -22.923506 ]
 [-29.20427   -35.223377  -43.654495  ... -38.302826  -35.958435
  -32.63306  ]]","[[-0.93151987  1.1836452  -1.2994883  ...  1.1388249   2.7253425
   1.4744596 ]
 [-0.79897183  1.2797401  -2.1670687  ...  1.3164576   2.622726
   1.1622531 ]
 [-0.46682772  0.8439959  -2.7196395  ...  1.0326021   2.3302522
   1.1179647 ]
 ...
 [-0.3631322  -1.0064998   0.4272049  ...  0.13143604  1.3789151
   0.7802629 ]
 [-0.41071627 -1.229796    0.29915655 ... -0.20240377  0.9490548
   0.07082161]
 [-0.46930653 -1.3468931   0.26965898 ... -0.45446986  0.6147725
  -0.27744296]]"
8,21,1oTHteQbmJw15rPxPVXUTv,208266,True,71,0.897,0.612,11,-10.489,1,0.21100000000000002,0.0297,0.18600000000000003,0.0894,0.767,102.305,4,https://p.scdn.co/mp3-preview/cdb4418e8543eeb0552077f7696392f0c53c9815?cid=28588cda247f4f599396da1ad5712d00,[0.03645292 0.06827247 0.06908364 ... 0.15618153 0.17002329 0.1730592 ],22050,"[[  8.160622    3.1422343  -4.7120013 ... -14.8391485 -11.968908
   10.3028755]
 [ 24.10538    22.25519    18.933714  ...  12.702613   11.261858
   14.622035 ]
 [ 27.63757    25.7922     23.773119  ...  17.044178   14.630017
   15.92514  ]
 ...
 [-33.453716  -34.97358   -36.739086  ... -45.202965  -39.991352
  -40.65012  ]
 [-38.244606  -43.203655  -43.858547  ... -47.442024  -47.442024
  -47.442024 ]
 [-37.7789    -43.698467  -47.442024  ... -47.442024  -47.442024
  -47.442024 ]]","[[-0.60195714  0.8467241   0.73105305 ...  1.2755952   1.4000508
   0.5411122 ]
 [-0.7010958   0.97459793  0.60097903 ...  1.2774391   1.1340235
   0.65286785]
 [-0.9530373   0.80061775  0.9431205  ...  0.3843567   0.5511212
   0.13396397]
 ...
 [-0.45539096  0.80349296 -0.21497366 ...  0.7890717   1.1971259
   0.02671769]
 [-0.071246    1.1004759  -0.41197973 ...  1.1676714   1.3486573
   0.33399206]
 [ 0.17995776  1.5578796   0.21646959 ...  1.6496896   1.4981241
   0.20883203]]"
9,23,6l4wMAXzI8RxIysQMYZY0w,252240,True,62,0.769,0.675,6,-13.325999999999999,1,0.0724,0.000722,0.000149,0.0904,0.8029999999999999,101.884,4,https://p.scdn.co/mp3-preview/78963e9f8598943aa807bda8fbbdd1522c195f16?cid=28588cda247f4f599396da1ad5712d00,"[-0.03728576 -0.08034643 -0.11616137 ... -0.08275466 -0.04175863
 -0.01587273]",22050,"[[ -0.7120944   -1.2185197   -2.4779007  ...   7.3117566    8.135403
   13.540058  ]
 [  8.3365       4.1440816    0.7972569  ...  16.078882    16.833382
   17.199478  ]
 [  8.239263     5.63082      0.09502596 ...  22.556301    22.167114
   21.261957  ]
 ...
 [-24.947329   -25.236921   -30.115976   ... -19.245111   -20.54166
  -23.933105  ]
 [-36.97091    -38.88339    -41.191917   ... -23.698578   -25.56381
  -28.16632   ]
 [-37.122513   -42.44525    -48.964825   ... -37.217525   -35.22244
  -36.045444  ]]","[[-0.9723237  -0.49731994 -0.49097708 ...  0.24699484 -0.42256525
  -1.8166208 ]
 [-0.7815913  -0.1958854  -0.13842659 ...  0.20754616 -0.03785977
  -0.01898101]
 [-0.70351917  0.5822359  -0.6709438  ... -0.15176347  0.4729679
   1.0862353 ]
 ...
 [-0.10119685 -1.1035117   1.3693168  ...  0.5467726   0.19929737
  -0.3338391 ]
 [-0.3474389  -1.0726575   1.6389555  ...  0.48151377  0.33239752
   0.01541796]
 [-0.45428827 -0.49102283  1.4722625  ...  0.44849497  0.86328423
   0.431017  ]]"
