,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
0,0cNc2tivyPqzgp13BSM7St,321951,False,54,0.483,0.186,7,-21.824,0,0.0409,0.939,0.873,0.115,0.498,150.87,4,https://p.scdn.co/mp3-preview/aa3ae3a83fe4879944578c7e73b9d0f121ef0122?cid=28588cda247f4f599396da1ad5712d00
1,0Dt1B5dNfajRczQKZA87aL,435266,False,57,0.373,0.302,1,-20.358,0,0.0376,0.818,0.835,0.171,0.35,86.925,4,
2,1cfMdMmJqBlLn4auevv0iB,439120,False,56,0.308,0.114,5,-20.291,1,0.0399,0.912,0.919,0.169,0.163,79.261,4,https://p.scdn.co/mp3-preview/ca290bc6435bc4fafce4be2ec69201326df36806?cid=28588cda247f4f599396da1ad5712d00
3,5z8eOnPiOC22EYpniAX3Qg,368253,False,56,0.477,0.733,8,-8.301,1,0.0682,0.732,0.0756,0.153,0.385,120.42,3,
4,3TSdkwPeUfvgLwNTF8gfC0,370384,False,58,0.601,0.314,5,-16.922,0,0.0353,0.526,0.878,0.0937,0.316,135.712,4,https://p.scdn.co/mp3-preview/4e4764b20498d16f1f0360470fe492d4726af272?cid=28588cda247f4f599396da1ad5712d00
5,5F8rPLt2c52p0SK7kiH26b,415000,False,58,0.203,0.0186,9,-24.277,0,0.0408,0.985,0.377,0.0728,0.0481,76.591,4,
6,4bRNH9mxHDszZGskpBFhPq,419626,False,13,0.425,0.0429,1,-24.86,1,0.0408,0.951,0.0184,0.148,0.255,96.097,4,
7,6yKkA8HzwWTZ5taIMaG4Nm,297320,False,62,0.395,0.121,9,-23.427,1,0.0327,0.935,0.397,0.697,0.139,114.521,4,
8,0ldmR2mJJNEoBIINfZWdv6,190933,False,28,0.593,0.103,10,-14.961,1,0.081,0.986,0.6,0.12,0.443,66.283,4,
9,6ffJxrVKkPVW4hiRoiteB2,213386,False,10,0.652,0.171,7,-16.1,1,0.0569,0.99,0.864,0.158,0.562,118.883,4,
10,2qswPLZD9CbUoSidGNyxwm,280480,False,55,0.478,0.238,4,-17.115,0,0.0318,0.946,0.904,0.0978,0.178,126.188,3,https://p.scdn.co/mp3-preview/ef207587a562f441848d68f696aa50cc524eda4e?cid=28588cda247f4f599396da1ad5712d00
11,1cpANF6zMBoFoxkoIjZHjv,324200,False,62,0.478,0.0294,0,-25.319,1,0.0453,0.993,0.948,0.105,0.148,124.308,3,
12,2iUrcZcAuVIahQD0dg9HLe,423573,False,58,0.496,0.634,5,-10.328,0,0.0364,0.779,0.402,0.0746,0.606,93.357,4,https://p.scdn.co/mp3-preview/df92b35695c5ecf6842f3a7e4056895d24fd18d9?cid=28588cda247f4f599396da1ad5712d00
13,6TAW00MAPvS59yEoIgtOEI,310054,False,58,0.492,0.205,9,-8.488,0,0.0577,0.983,0.893,0.122,0.109,128.315,4,https://p.scdn.co/mp3-preview/c35f6dcd86a93edf7abb636d0e7bd8a18d682ad5?cid=28588cda247f4f599396da1ad5712d00
14,1mRiTVkBMFUBwEovTC8eFK,283740,False,53,0.611,0.292,2,-18.391,1,0.0646,0.762,0.000146,0.0571,0.544,83.424,4,
15,6f7r5i4xVwePkHDHwwMK75,354973,False,11,0.476,0.251,9,-13.854,0,0.0278,0.769,0.774,0.0637,0.37,98.833,4,
16,5rWLLUMytrhz5KJwNjEn5q,145466,False,55,0.641,0.645,10,-11.351,1,0.0355,0.16,0.0444,0.0889,0.963,95.06,4,https://p.scdn.co/mp3-preview/1dbaba339ac7672efd57190a9447184256c873de?cid=28588cda247f4f599396da1ad5712d00
17,6linlPbVWEecMEMfNcul1e,377706,False,51,0.456,0.205,11,-19.74,0,0.0452,0.952,0.889,0.101,0.31,111.5,4,
18,6OH7UCFY7SEJxxQkaYfAv8,519600,False,53,0.651,0.143,5,-22.617,1,0.0531,0.752,0.421,0.138,0.601,78.792,4,https://p.scdn.co/mp3-preview/4cd2320bd96c3b79c668b64ca2cc5589e6a2ba61?cid=28588cda247f4f599396da1ad5712d00
19,3B5nLEw1jmeZraWXc8uJHe,228533,False,8,0.163,0.14,4,-19.712,0,0.0373,0.428,0.955,0.0999,0.18,169.381,3,
20,1ChYuSIoOFDVY6fHSXF6zS,550493,False,53,0.468,0.391,2,-13.196,0,0.0269,0.658,0.0617,0.111,0.342,142.413,4,
21,7z4EbJbnbvWcP9Bg15fpgC,321157,False,52,0.441,0.321,10,-19.455,1,0.0324,0.856,0.854,0.236,0.594,89.776,4,https://p.scdn.co/mp3-preview/a06348428b47e18585d625d27874ad688a55b4b3?cid=28588cda247f4f599396da1ad5712d00
22,1HEGcv63IZ7TPncpVKdVdN,294306,False,59,0.466,0.0718,0,-17.999,1,0.0375,0.984,0.000931,0.107,0.196,121.769,4,
23,1duGF26RKaTntfsJ0cTkzj,379000,False,50,0.487,0.535,8,-8.47,0,0.0305,0.73,0.00414,0.0903,0.591,144.548,3,
24,6eimz6jvlZaPwtflDWCTa0,301866,False,54,0.398,0.527,4,-16.591,0,0.0297,0.713,0.934,0.119,0.353,118.504,4,https://p.scdn.co/mp3-preview/3e94a0d8fb24d0d870fe9c07d0c35b3b49667386?cid=28588cda247f4f599396da1ad5712d00
25,5vze3yFdib2nLOqpmzl5wO,407586,False,9,0.546,0.322,0,-19.111,1,0.037,0.662,0.0299,0.76,0.488,96.07,4,
26,1J9iVCaEriyoMXpj2XszhU,282320,False,62,0.427,0.114,2,-22.546,0,0.0509,0.843,0.863,0.0966,0.114,60.484,4,
27,0m8tSPLHhjhGToD6LW0RPp,191933,False,50,0.503,0.344,1,-19.024,1,0.0369,0.673,0.381,0.096,0.468,108.489,4,
28,76XN6m7RzGYwnzngUGD6Tt,357573,False,51,0.468,0.388,9,-12.389,1,0.0275,0.886,0.362,0.107,0.125,112.455,4,https://p.scdn.co/mp3-preview/851970f853db85b35d18bbd41f645cbddee8a16e?cid=28588cda247f4f599396da1ad5712d00
29,0sRAziWSeUedBSKjapsy9F,297875,False,56,0.464,0.0358,7,-20.836,0,0.0454,0.941,0.178,0.0836,0.187,77.57,3,https://p.scdn.co/mp3-preview/eddf5c067c970d32bdc8c98a7c486ebcf2161b9a?cid=28588cda247f4f599396da1ad5712d00
30,0Pq0mOdgFXTezl6mMt8a39,255533,False,54,0.597,0.263,7,-21.112,0,0.0284,0.959,0.9,0.134,0.262,94.44,4,https://p.scdn.co/mp3-preview/3e093d0f23fca14240fa07f04b615872796fe73a?cid=28588cda247f4f599396da1ad5712d00
31,7hDq6sOZ5Rl1XnSSfoOBRK,284186,False,53,0.438,0.182,2,-15.209,0,0.0338,0.983,0.841,0.119,0.0639,65.535,3,https://p.scdn.co/mp3-preview/c5a5dac4d3c317a70ad5388016c82e7746cfc52d?cid=28588cda247f4f599396da1ad5712d00
32,0FKnknau5UBXgN2Q6vVHgC,232377,False,49,0.559,0.479,11,-18.152,0,0.0429,0.678,0.861,0.215,0.485,99.782,4,https://p.scdn.co/mp3-preview/44ee6844143d3e3f6c48b76cac923a57b8924b92?cid=28588cda247f4f599396da1ad5712d00
33,2dPWP7FMCxnv4u9Api6WWU,277800,False,7,0.392,0.168,10,-22.249,1,0.0442,0.637,0.358,0.198,0.292,123.419,4,
34,7yzM0pEseQUpb6BMViOPEA,251600,False,56,0.522,0.379,4,-14.096,0,0.0286,0.635,0.925,0.114,0.454,133.698,3,
35,0DXb75jBHund71iIpnBBZv,340960,False,7,0.662,0.331,0,-12.712,1,0.0581,0.532,0.000125,0.253,0.408,120.228,4,
36,6oWhUfePc5h9r5pfw7wvPN,597280,False,55,0.704,0.277,0,-11.675,1,0.035,0.814,0.756,0.0845,0.322,90.38,4,
37,4vWMrM0AwlhRlkAdQtC2zn,209400,False,50,0.634,0.327,0,-9.703,0,0.0551,0.709,0.0131,0.158,0.498,80.825,4,
38,4zPDjRgceGrR0Sm54YDTTf,294666,False,57,0.539,0.0678,0,-18.039,1,0.0468,0.967,0.168,0.114,0.263,124.105,4,
39,0xcJPMoBe9FenntXbfyx97,254400,False,8,0.597,0.128,9,-16.656,0,0.0491,0.959,0.000704,0.123,0.34,128.393,4,
40,4G3EKvGtqcUSZqPQIWJFxd,257693,False,13,0.42,0.0802,7,-21.795,1,0.04,0.905,0.857,0.135,0.0541,122.041,3,
41,6CDQBADsdzJwc3qZ3OPDHH,290293,False,56,0.561,0.346,0,-12.596,0,0.0409,0.873,0.399,0.104,0.697,93.689,4,
42,7GXOrNqnHdJasc81GlKH2D,378933,False,48,0.52,0.2,1,-17.353,1,0.0357,0.837,0.516,0.12,0.132,81.899,4,
43,5wcAcShxT5qvLJvuM6jkZt,367400,False,48,0.585,0.375,2,-12.171,0,0.0504,0.78,0.00365,0.0806,0.665,72.59,4,
44,489alJQIWUauqzKTMuXRjm,179293,False,9,0.453,0.367,2,-16.245,0,0.0343,0.0708,0.00183,0.1,0.127,140.832,3,
45,0iEtT7O43pat2fu6jdaCKl,237933,False,7,0.629,0.283,0,-17.384,0,0.0436,0.816,0.000437,0.192,0.862,104.739,4,
46,0IffIW3eyCx9aZ36IqOu5o,414240,False,55,0.34,0.0837,3,-12.072,1,0.042,0.985,0.761,0.0945,0.119,138.689,3,
47,4KGcpnAbGlvVgd2HFQvexI,306200,False,45,0.378,0.232,0,-18.05,1,0.0303,0.87,0.948,0.1,0.155,148.531,4,
48,3gMMHNUrq3rPeUfgQcAJ2H,210066,False,51,0.404,0.0602,11,-26.459,0,0.0422,0.861,0.901,0.703,0.168,106.82,3,https://p.scdn.co/mp3-preview/cb662e3d93881ccdc8c20642ae77d88250d97daa?cid=28588cda247f4f599396da1ad5712d00
49,77nLS9LOXJmdHaaOnppH33,155354,False,51,0.337,0.257,2,-12.472,1,0.0321,0.954,5.28e-05,0.122,0.428,59.803,5,https://p.scdn.co/mp3-preview/f96b409ba5b01374e81b8bb194dc9604802d01b4?cid=28588cda247f4f599396da1ad5712d00
