,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
0,5FFowl1Ve4S5OehL6OywSg,173266,False,63,0.616,0.727,1,-8.176,0,0.0365,0.00401,0.86,0.157,0.54,92.259,4,https://p.scdn.co/mp3-preview/c9bfa2688e47287f2df32b2a0c248a5f06c4f6d1?cid=28588cda247f4f599396da1ad5712d00
1,3LoDeIbiR12sAznmpNEmKA,211973,False,55,0.323,0.978,5,-3.841,1,0.118,0.0422,0.00019,0.201,0.168,134.222,4,https://p.scdn.co/mp3-preview/bff091ee5fb52185c07a4d2c851ae62c096f1cf9?cid=28588cda247f4f599396da1ad5712d00
2,0weTorJ7HSAdi874qIFCXM,150333,False,3,0.611,0.947,11,-5.261,1,0.0433,0.0768,6.33e-05,0.0962,0.949,162.949,4,
3,5szJ8SMwQVEvvdk65w6M6g,207040,False,58,0.317,0.885,8,-4.768,1,0.144,0.176,0.000249,0.221,0.704,111.366,3,https://p.scdn.co/mp3-preview/5e9fa6bc4a08b30378daf951feb846a37e1f2c7c?cid=28588cda247f4f599396da1ad5712d00
4,0S8LgLoseDB6W2HWd1ym6P,119826,False,57,0.181,0.946,0,-5.308,1,0.096,0.0257,0.223,0.344,0.363,178.743,4,
5,5jzma6gCzYtKB1DbEwFZKH,200480,False,73,0.651,0.801,0,-7.34,1,0.0513,0.123,0.0,0.0825,0.776,133.763,4,https://p.scdn.co/mp3-preview/cab17680a55cff3339dec569c52b079efda6daad?cid=28588cda247f4f599396da1ad5712d00
6,38wCbVfMreML5ZhF5iQuKA,209039,False,69,0.32,0.798,10,-7.078,0,0.124,0.00033,0.692,0.176,0.74,84.696,4,https://p.scdn.co/mp3-preview/2fcfed354e0516bb44f20ac5d92d0d7faf20adc9?cid=28588cda247f4f599396da1ad5712d00
7,6ui6l3ZNvlrGQZArwo8195,200080,False,51,0.274,0.908,9,-5.419,1,0.0691,0.00103,0.00219,0.154,0.483,148.246,4,https://p.scdn.co/mp3-preview/08728395f55962314c19e3f7be18a24e46ec9502?cid=28588cda247f4f599396da1ad5712d00
8,4kFfFe38CRVnTsakUTL4E4,146560,False,57,0.374,0.816,2,-13.88,1,0.0578,0.119,8.01e-06,0.0808,0.138,104.56,4,https://p.scdn.co/mp3-preview/21e5b98fc7eb869fd8061238fa2d849312f03b7d?cid=28588cda247f4f599396da1ad5712d00
9,5LgiqEgpK54OfXC6947wbU,128426,False,58,0.282,0.943,2,-7.746,1,0.121,0.741,0.414,0.178,0.15,182.381,4,
10,7lSDCrF11sdTVfjbAQVZE8,163240,False,63,0.525,0.9,2,-6.815,1,0.0545,0.00539,4.09e-05,0.14,0.883,151.274,4,https://p.scdn.co/mp3-preview/2f89fbc88c0559deeec7efe2d03a510f493a2c2d?cid=28588cda247f4f599396da1ad5712d00
11,672N8DGGTOLCOgWe0koX5g,188560,False,61,0.527,0.871,4,-8.708,1,0.0354,0.0229,0.155,0.419,0.107,120.722,4,https://p.scdn.co/mp3-preview/e19c890c575f687e58fff7689b57c817fbda3e5e?cid=28588cda247f4f599396da1ad5712d00
12,6n7DUOZGILo0dU9pwjQsbA,277533,False,48,0.13,0.979,2,-3.903,1,0.113,0.617,0.409,0.338,0.368,205.39,4,https://p.scdn.co/mp3-preview/b62f333f9833009f0d0f71bba498b022697b43e7?cid=28588cda247f4f599396da1ad5712d00
13,2mKj8Em0GLFu8I78yM1CfU,198160,False,46,0.258,0.932,2,-5.194,1,0.0702,0.0467,8.09e-06,0.142,0.334,145.582,4,https://p.scdn.co/mp3-preview/147b6d9e7ff446b224c8e81460ac8ec8986f0cc6?cid=28588cda247f4f599396da1ad5712d00
14,33iQW2OneB0oNh2NfrAzqW,133440,False,7,0.547,0.733,9,-6.558,1,0.0433,0.0103,0.131,0.117,0.962,176.198,4,
15,2LUVo82IKIpCuBNSaqF0G8,145533,False,56,0.47,0.913,7,-10.196,1,0.0343,6.59e-05,0.267,0.222,0.977,130.425,4,https://p.scdn.co/mp3-preview/6bacfc1dc328e1ec2cd34c47ab5fe65271c57aa9?cid=28588cda247f4f599396da1ad5712d00
16,0kvH59HS2T2m4bsXJhBGNC,312040,False,49,0.372,0.976,9,-4.329,1,0.0483,0.00672,2.47e-06,0.158,0.714,101.285,4,
17,5Q4OndPgegGCR88wPsXswf,279520,False,3,0.675,0.641,7,-9.754,1,0.0427,0.0297,0.863,0.144,0.854,125.891,4,
18,7Me0vOSlJfaPY7Pc4GeItd,638426,False,61,0.49,0.536,7,-10.83,1,0.0382,0.0391,0.371,0.116,0.732,118.008,4,https://p.scdn.co/mp3-preview/ea17e9c75d096b1c44fecdf843b49bca479cbe9c?cid=28588cda247f4f599396da1ad5712d00
19,2yE3bwbhqypdsuhmv48Svn,163880,False,53,0.439,0.971,11,-5.855,0,0.177,0.0148,1.34e-05,0.255,0.24,118.369,4,https://p.scdn.co/mp3-preview/040cf1909b4a25427bd83b930fc9ade905731cc4?cid=28588cda247f4f599396da1ad5712d00
20,1RG1Pz45nlYNHka7JioyOT,191266,False,55,0.571,0.858,2,-7.066,1,0.0326,0.0551,0.665,0.0943,0.716,92.523,3,https://p.scdn.co/mp3-preview/0000a852029b3ff4d246958f0a509708002beb47?cid=28588cda247f4f599396da1ad5712d00
21,0bHm2wFL0m7qZIlhO7PQu5,163693,False,8,0.266,0.831,4,-9.07,1,0.0453,0.000862,0.0,0.0555,0.778,175.514,4,
22,4tPFEWRuNQhibDQSGB2PVE,210866,False,54,0.305,0.965,0,-5.926,1,0.0809,0.00128,0.00124,0.317,0.644,90.81,4,https://p.scdn.co/mp3-preview/784be68a011f505533dc26d310213142efd03acf?cid=28588cda247f4f599396da1ad5712d00
23,4AwKXevZmsTNa3KZVj3rzl,221506,False,54,0.429,0.914,7,-9.594,1,0.0505,0.0321,9.26e-05,0.436,0.685,155.588,4,
24,678Fh7cIfN1sLqxsj5sc2G,189333,False,52,0.403,0.891,1,-8.907,0,0.139,0.00525,0.00379,0.0519,0.427,88.936,4,https://p.scdn.co/mp3-preview/fc1143a4c3997eb1c4592c791ffb0ba9f4286924?cid=28588cda247f4f599396da1ad5712d00
25,5E47rKJbS74jyLZaSgb0kS,113240,False,55,0.494,0.923,10,-7.69,0,0.182,0.0962,0.0,0.128,0.577,176.216,4,https://p.scdn.co/mp3-preview/4193eff3becd920daa216f4c56a73c52ebe965bc?cid=28588cda247f4f599396da1ad5712d00
26,1MPEPvmX18S9MK4RlMKIst,120360,False,56,0.506,0.903,2,-8.898,1,0.0455,0.00169,0.0,0.336,0.781,117.229,4,https://p.scdn.co/mp3-preview/a6ee21d66d9f9197381634ecbdc3a55497d4af3f?cid=28588cda247f4f599396da1ad5712d00
27,75a66iUfwKdJb5n9juvXRI,144786,False,48,0.614,0.755,2,-5.829,1,0.0276,0.0162,1.9e-06,0.0831,0.645,92.622,4,https://p.scdn.co/mp3-preview/f5be46c401c4f3af054de793493b1733588cc5a8?cid=28588cda247f4f599396da1ad5712d00
28,69cHTfo3Dc7S4sl1bQScNO,176293,False,2,0.382,0.955,7,-5.447,1,0.0771,0.0341,0.0,0.162,0.205,88.32,4,
29,6yIaRcvzhIrukxS4VVhil0,91240,False,53,0.276,0.91,2,-7.465,1,0.0491,0.00101,0.0014,0.276,0.935,166.469,4,https://p.scdn.co/mp3-preview/01e2ca4cfa0f41ed1e665100992b3b5f03eaa6d9?cid=28588cda247f4f599396da1ad5712d00
30,21vp1orbqySVyww9ngW44w,89666,False,50,0.716,0.877,2,-9.299,1,0.281,0.0128,0.000918,0.114,0.956,160.513,4,https://p.scdn.co/mp3-preview/31577a82dc3d9f747d75983fa5f4a04fb758759d?cid=28588cda247f4f599396da1ad5712d00
31,0Hl2Vuhhhh8buesoxUk1DW,104360,False,46,0.504,0.877,4,-7.469,0,0.053,0.000242,2.66e-06,0.293,0.821,106.272,4,https://p.scdn.co/mp3-preview/f27710f84d89e5a9b3eb3647166535204519f2de?cid=28588cda247f4f599396da1ad5712d00
32,44qEQsgGIiKEE6oYwOGo2s,155626,False,52,0.452,0.652,9,-8.301,1,0.0368,0.000697,0.564,0.321,0.529,91.259,4,https://p.scdn.co/mp3-preview/be1a7234986165347ddc8eb5042b88fb71d8b92e?cid=28588cda247f4f599396da1ad5712d00
33,4DA95pyBe6QORPGvTEuMWQ,211200,False,52,0.308,0.926,1,-12.683,1,0.15,0.184,0.0,0.0782,0.193,96.17,4,https://p.scdn.co/mp3-preview/608018875ba820b1424024417bd66c93932dad21?cid=28588cda247f4f599396da1ad5712d00
34,6sC3btkeaVA9IEhe0qbifj,164640,False,2,0.196,0.918,1,-11.717,0,0.0547,0.175,1.62e-06,0.093,0.384,173.566,4,
35,2vFaBeQqDVZW9SiJeiM4LU,297733,False,53,0.297,0.811,7,-10.267,1,0.0583,0.0128,0.538,0.111,0.722,165.376,4,https://p.scdn.co/mp3-preview/44ae28d42eaa988e0e14328f8dfb2cc244b51900?cid=28588cda247f4f599396da1ad5712d00
36,62uw0iWu8jLB4cYBQxjdcm,207200,False,57,0.744,0.721,0,-7.008,1,0.0899,0.025,0.0466,0.155,0.965,157.188,4,https://p.scdn.co/mp3-preview/8af3bbf1adf855fb4bd3d703f6f7a4b38425ead1?cid=28588cda247f4f599396da1ad5712d00
37,6MYusHmom4vpQN4qGyHl0h,132786,True,1,0.139,0.712,9,-12.103,0,0.0399,0.000612,0.816,0.0983,0.689,152.933,4,
38,5Og9VyCOfxmZCuv1UhIyxE,140493,False,52,0.33,0.784,2,-15.285,1,0.19,0.157,2.08e-05,0.58,0.196,115.402,4,https://p.scdn.co/mp3-preview/223c2dc5abd0e34dfb27fcea2255d7e474aa8fa4?cid=28588cda247f4f599396da1ad5712d00
39,7Ig7b1MJJKbNyTxLU6u9rZ,155960,True,49,0.241,0.943,4,-6.381,1,0.0566,0.000737,0.0269,0.349,0.93,187.71,4,https://p.scdn.co/mp3-preview/df4188814fb02d4ca80d2b4b49251adfbde84637?cid=28588cda247f4f599396da1ad5712d00
40,3iTGXWfuazyOJBbjHXary5,157360,False,2,0.419,0.75,11,-8.798,0,0.0469,0.0065,0.254,0.249,0.861,150.064,4,
41,35PI5Hsq17h723EbyyDFsi,100600,False,55,0.388,0.771,2,-9.393,1,0.0385,5.46e-05,0.0,0.359,0.826,99.258,3,https://p.scdn.co/mp3-preview/5aed92be597042553fcf0e4809ce144c870585ad?cid=28588cda247f4f599396da1ad5712d00
42,0ritgEzDOsxbd2IfYX96S9,218066,False,52,0.438,0.916,4,-8.318,1,0.124,0.00573,1.07e-06,0.334,0.391,143.101,4,https://p.scdn.co/mp3-preview/20d471e5f93663ea369f6e4c9303d90d0f4bd466?cid=28588cda247f4f599396da1ad5712d00
43,1Na7UkusgEr3aTp31YX3Bl,138200,False,34,0.343,0.895,7,-7.022,1,0.0468,0.000479,2.71e-05,0.295,0.894,177.844,4,
44,05Uw3uX5jzesUSIF91gWDv,115040,True,1,0.199,0.818,9,-12.416,1,0.0506,0.00391,7.37e-05,0.66,0.0837,82.025,4,
45,49G0Rj1qpt75vdgiOo8QAE,237013,False,61,0.485,0.846,11,-7.63,0,0.0528,0.0157,0.0287,0.0766,0.743,144.246,4,https://p.scdn.co/mp3-preview/e34a201ae7f3fab10a1ea17e6493053000829a09?cid=28588cda247f4f599396da1ad5712d00
46,7wLBPjReJhdkFtrGHgUcxG,162075,False,2,0.44,0.85,7,-6.196,1,0.165,0.129,3.79e-06,0.0959,0.637,138.571,4,
