,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
0,3rdxvEfBp86WNcRDLaFEk9,270160,False,12,0.39,0.898,7,-4.089,1,0.045,0.207,6.64e-05,0.217,0.204,90.703,4,
1,2SiXAy7TuUkycRVbbWDEpo,210173,False,79,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,4,https://p.scdn.co/mp3-preview/2a200f628c41fadd1734ea7663f380659b93d826?cid=28588cda247f4f599396da1ad5712d00
2,4MhTFsyqIJnjsOweVcU8ug,356400,False,17,0.449,0.901,6,-7.711,1,0.0526,0.141,0.0675,0.128,0.696,125.148,4,
3,7qQnBfwXrw2tZNFG4Uf57N,250626,False,12,0.52,0.887,0,-3.296,1,0.0349,0.0665,0.000179,0.186,0.793,122.528,4,
4,7N3PAbqfTjSEU1edb2tY8j,241599,False,78,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000376,0.0702,0.796,129.994,4,https://p.scdn.co/mp3-preview/f6e554cadfb84a511acbbd8661741b805ecca193?cid=28588cda247f4f599396da1ad5712d00
5,0PdM2a6oIjqepoEfcJo0RO,267306,False,74,0.267,0.953,1,-4.899,0,0.096,0.00211,0.0,0.283,0.568,84.989,4,
6,77NNZQSqzLNqh2A9JhLRkg,248906,False,75,0.491,0.802,4,-7.106,1,0.0392,0.25,0.0,0.387,0.472,119.25,4,https://p.scdn.co/mp3-preview/5908f4536c2b1111045c46555811fe61112d5c26?cid=28588cda247f4f599396da1ad5712d00
7,5tVA6TkbaAH9QMITTQRrNv,256000,False,79,0.623,0.449,5,-13.333,1,0.0253,0.212,0.0,0.0613,0.572,84.383,4,
8,72hcFp4tYkd3dbNA9dZ3Pv,316706,False,68,0.555,0.973,9,-3.804,1,0.035,0.048,0.0,0.0853,0.805,118.642,4,
9,05RgAMGypEvqhNs5hPCbMS,210226,False,74,0.527,0.978,8,-5.436,1,0.109,0.00124,4.75e-05,0.0744,0.463,141.169,4,https://p.scdn.co/mp3-preview/8d4ebb940a66aa56f6992a31dd8ef0e72ad9fc2f?cid=28588cda247f4f599396da1ad5712d00
10,0GONea6G2XdnHWjNZd6zt3,216053,False,81,0.508,0.834,2,-6.205,1,0.0386,0.0183,0.0,0.0732,0.774,139.131,4,
